category,name,price,image_url
М'ясо,Язик яловичий,35.90 грн/100г,https://images.silpo.ua/products/300x300/webp/726e84a1-fb06-45f3-b42e-b1b762afb4e4.png
М'ясо,Куряче стегно в маринаді,18.90 грн/100г,https://images.silpo.ua/products/300x300/webp/74356565-7d5f-4505-9c1d-dfa6edce13a2.png
М'ясо,Свинячий бекон нарізний,19.90 грн/100г,https://images.silpo.ua/products/300x300/webp/9f9a51cc-6840-484d-b933-29ae0eafa436.png
М'ясо,Куряча чверть свіжоморожена,6.05 грн/100г,https://images.silpo.ua/products/300x300/webp/ba59a0bf-8cdf-483b-9998-f61ed43d0b27.png
М'ясо,Куряче філе-міньйон,20.90 грн/100г,https://images.silpo.ua/products/300x300/webp/8f5c91a2-0364-47cd-aa90-2c35d2981c35.png
М'ясо,Шиї курячі,5.30 грн/100г,https://images.silpo.ua/products/300x300/webp/cb385f69-0d23-4e86-a387-070a53120500.png
М'ясо,Ніжки свинячі охолоджені,3.00 грн/100г,https://images.silpo.ua/products/300x300/webp/0f6a74d1-a09f-4094-86be-40662432023e.png
М'ясо,Котлети для бургерів з м'яса індички зі смаком цибулі охолоджені,27.40 грн/100г,https://images.silpo.ua/products/300x300/webp/12116a63-5b89-4840-97cf-895cd55a3ce8.png
М'ясо,Курячі стріпси нарізні,20.40 грн/100г,https://images.silpo.ua/products/300x300/webp/65f18871-3f23-409e-b66a-c13b47192e81.png
М'ясо,Свиняче сало «Фермерське»,22.90 грн/100г,https://images.silpo.ua/products/300x300/webp/68303ead-9eca-415f-9eee-a463f5cee367.png
М'ясо,Телячий шашлик в маринаді,44.75 грн/100г,https://images.silpo.ua/products/300x300/webp/772d287d-bfed-4605-96ac-01afb9f93199.png
М'ясо,Телятина Ребро для тушкування,19.71 грн/100г,https://images.silpo.ua/products/300x300/webp/a63f148c-0fcb-4dd8-807b-dd5bd7e7fa42.png
М'ясо,Куряче крило домашнє,12.90 грн/100г,https://images.silpo.ua/products/300x300/webp/fcbf263d-9ded-47e5-a5f5-cec715fb13a7.png
М'ясо,Свиняче сало «Крижок»,22.90 грн/100г,https://images.silpo.ua/products/300x300/webp/354262d6-8c40-430f-a029-a0e3c609bf2d.png
М'ясо,Язички кролика,67.90 грн/100г,https://images.silpo.ua/products/300x300/webp/7ea6056b-0f52-4c21-8041-e66d40ab78ad.png
М'ясо,Печінка кролика,31.90 грн/100г,https://images.silpo.ua/products/300x300/webp/6b06a445-dd6f-49d0-b73b-d47f476fa790.png
М'ясо,Свинячий бекон нарізний у спеціях,21.90 грн/100г,https://images.silpo.ua/products/300x300/webp/9025594f-a951-4004-9b9b-60fa90b3fbad.png
М'ясо,Індиче крило охолоджене,15.50 грн/100г,https://images.silpo.ua/products/300x300/webp/1f3b771e-9dfc-4e77-bdf4-4983977f71bb.png
М'ясо,Свиняча корейка,22.90 грн/100г,https://images.silpo.ua/products/300x300/webp/168767de-0343-491e-a58a-0f4fb9afd766.png
М'ясо,Курячий шніцель з філе охолоджене,20.40 грн/100г,https://images.silpo.ua/products/300x300/webp/ab1efc4d-3c2c-44b7-917e-4ac323d9a420.png
М'ясо,Шиї індичі,9.00 грн/100г,https://images.silpo.ua/products/300x300/webp/2590186a-c7d8-48ea-880b-c1dcb1f78e66.png
М'ясо,Баранячий набір для плову,28.63 грн/100г,https://images.silpo.ua/products/300x300/webp/ab7b7e92-d1c5-4950-99cf-adaaa4c15413.png
М'ясо,Язик свинячий,22.62 грн/100г,https://images.silpo.ua/products/300x300/webp/515141d7-1ae0-4bef-a186-f814cbd54894.png
М'ясо,Свиняче сало бутербродне,9.90 грн/100г,https://images.silpo.ua/products/300x300/webp/013ef516-6c92-4646-afaf-17f7f24561ce.png
М'ясо,Індича гомілка охолоджена,17.28 грн/100г,https://images.silpo.ua/products/300x300/webp/331d013e-43ab-4549-b18e-4e69020828f0.png
М'ясо,Чевапчічі в беконі зі спеціями,24.40 грн/100г,https://images.silpo.ua/products/300x300/webp/37ee0f46-ca56-474f-983c-f420c9c5e423.png
М'ясо,Легені свинячі,5.00 грн/100г,https://images.silpo.ua/products/300x300/webp/35bc4874-752e-423b-a7dd-87017cd4375c.png
М'ясо,Серце свиняче,9.00 грн/100г,https://images.silpo.ua/products/300x300/webp/5edf3422-5abb-4763-9eff-3a488f813a9d.png
М'ясо,Свинячий Кострець з окісту охолоджений,22.89 грн/100г,https://images.silpo.ua/products/300x300/webp/9661ba6c-a7b3-4cc1-9575-fb49f6f78eeb.png
М'ясо,Шашлик зі свинини Львівський напівфабрикат кулінарний в/у,15.40 грн/100г,https://images.silpo.ua/products/300x300/webp/36aef7b3-6c82-46af-927d-1597d4510f69.png
М'ясо,Стегенця Снятинська птиця курячі у томатному маринаді охолоджені,15.40 грн/100г,https://images.silpo.ua/products/300x300/webp/5d40f139-8c44-426c-a022-89473d73f4ae.png
М'ясо,Сало свиняче фермерське копчене на сіні охолоджене,29.90 грн/100г,https://images.silpo.ua/products/300x300/webp/2592c357-5314-4e38-b66e-3e05f19163f9.png
М'ясо,Бараняча лопатка рублена,32.90 грн/100г,https://images.silpo.ua/products/300x300/webp/1d0a1b2b-f0d9-40f2-a812-3e74a306a7c4.png
М'ясо,Бараняча  котлета на кістці,34.90 грн/100г,https://images.silpo.ua/products/300x300/webp/6873ab1b-f381-4674-a099-a1c1200d38ca.png
М'ясо,Хвости свинячі,7.95 грн/100г,https://images.silpo.ua/products/300x300/webp/dbf1e357-c351-48c6-9e53-8df93a436781.png
М'ясо,Свинячий стейк (биток) з кісткою,26.11 грн/100г,https://images.silpo.ua/products/300x300/webp/2c7bae83-5103-4967-8065-ea4e8124c5ef.png
М'ясо,Свинячий стейк «Хвилинка»,21.11 грн/100г,https://images.silpo.ua/products/300x300/webp/f2f967e8-6fbf-477f-91f6-be045353a3ab.png
М'ясо,Свинячий стейк,21.89 грн/100г,https://images.silpo.ua/products/300x300/webp/4f665c88-8371-41ca-95e8-2ac9e475b693.png
М'ясо,Качка домашня охолоджена,18.40 грн/100г,https://images.silpo.ua/products/300x300/webp/c36c6fa5-d4b0-4c01-941c-119ff7948251.png
М'ясо,Перепілка тушка патрана у маринаді охолоджена,36.90 грн/100г,https://images.silpo.ua/products/300x300/webp/3096a4c1-e207-498e-9c62-b3ede130c4d7.png
